EntityName,EntityField,EntityFieldType
ldv_editcontract,ldv_name,String
ldv_editcontract,ldv_contractnumber,Lookup
ldv_editcontract,ldv_cr,Lookup
ldv_editcontract,ldv_industrialcity,Lookup
ldv_editcontract,ldv_requeststatus,Lookup
ldv_editcontract,ldv_requesttype,Picklist
ldv_contractsubmission,ldv_name,String
ldv_contractsubmission,createdon,DateTime
ldv_contractsubmission,ldv_contract,Lookup
ldv_contractsubmission,ldv_requeststatus,Lookup
ldv_contractsubmission,ldv_industrialcity,Lookup
ldv_contractsubmission,ldv_investmentamount,Money
ldv_contractsubmission,ldv_ispaymentdone,Picklist
ldv_contractsubmission,ldv_issubmitted,Boolean
ldv_contractsubmission,ldv_productmainfamily,Lookup
ldv_contractsubmission,ldv_rejectionreasonid,Lookup
ldv_contractsubmission,ldv_totalmanpower,String
ldv_contractsubmission,ldv_totalrequestedarea,Integer
incident,ticketnumber,String
incident,title,String
